Filmes e séries;Fácil;Qual é o nome do bruxo protagonista da saga criada por J.K. Rowling?;Frodo;Harry Potter;Percy Jackson;Eragon;B;Harry Potter é o personagem principal da série escrita por J.K. Rowling.
Filmes e séries;Fácil;Qual super-herói é conhecido como o 'Homem de Ferro'?;Superman;Capitão América;Homem de Ferro;Batman;C;Tony Stark é o alter ego do super-herói Homem de Ferro.
Filmes e séries;Fácil;Qual é o nome do hobbit que carrega o anel em 'O Senhor dos Anéis'?;Sam;Gandalf;Frodo;Aragorn;C;Frodo Bolseiro é o portador do Um Anel na trilogia.
Filmes e séries;Fácil;Qual desenho animado tem personagens chamados Bart e Lisa?;Os Simpsons;Family Guy;South Park;Rick and Morty;A;Bart e Lisa são filhos de Homer e Marge em 'Os Simpsons'.
Filmes e séries;Fácil;Qual é o nome do vilão em 'Star Wars' conhecido por sua máscara preta e respiração forte?;Kylo Ren;Palpatine;Darth Vader;Darth Maul;C;Darth Vader é um dos vilões mais icônicos do cinema.
Filmes e séries;Fácil;Qual atriz interpreta a Mulher-Maravilha nos filmes recentes da DC?;Scarlett Johansson;Gal Gadot;Brie Larson;Zendaya;B;Gal Gadot vive a super-heroína em vários filmes da DC.
Filmes e séries;Fácil;Qual série da Netflix mostra adolescentes enfrentando criaturas do Mundo Invertido?;Stranger Things;Dark;The Umbrella Academy;Elite;A;Em 'Stranger Things', os jovens enfrentam ameaças sobrenaturais.
Filmes e séries;Fácil;Em qual filme os brinquedos ganham vida quando os humanos não estão por perto?;Shrek;Toy Story;Madagascar;Divertida Mente;B;'Toy Story' foi o primeiro longa-metragem animado totalmente em CGI.
Filmes e séries;Fácil;Qual personagem da Disney perde seu sapato em um baile?;Bela;Cinderela;Ariel;Rapunzel;B;Cinderela deixa um sapatinho de cristal no baile do príncipe.
Filmes e séries;Fácil;Qual é o nome do super-herói com poderes de aranha?;Homem-Formiga;Homem de Ferro;Homem-Aranha;Flash;C;Peter Parker é o alter ego do Homem-Aranha.
Filmes e séries;Fácil;Em qual filme um leão chamado Simba é o protagonista?;Madagascar;Rei Leão;Spirit;Zootopia;B;'O Rei Leão' é um clássico da Disney lançado em 1994.
